seq,seq_list,BP_Name,mean_rating,seq_length,unique_pitches,log_len,interval,entropy
0 0 10 10 1 1 2 2 3 2,,220530_ETEK.txt,76.13333333333334,10,5,3.321928094887362,,2.0588138903312014
0 1 2 1 4 1 6 1 8 1 10 1 12,,220530_ENOO.txt,62.142857142857146,13,8,3.700439718141092,,3.418295834054489
0 1 2 3 4 5 6 5 4 3 2 1 0,,220527_WHAR.txt,23,13,7,3.700439718141092,,1
0 1 2 5 4 5 6 3 8 6 10 11 0,,220530_ENOO.txt,73.26666666666667,13,10,3.700439718141092,,2.617492461184755
0 2 3 5 3 5,,220527_EPOP.txt,39.55882352941177,6,4,2.584962500721156,,1.3709505944546687
0 3 4 6 7 10,,220525_EABR.txt,26.5,6,6,2.584962500721156,,1.5219280948873621
0 4 7 0 4 7 2 6 7 0 6 7,,220527_EPOP.txt,52.12301587301587,12,5,3.584962500721156,,2.481714572986073
0 4 7 5 4 7 2 6 7 4 6 7,,220527_EPOP.txt,75.05263157894737,12,6,3.584962500721156,,2.913977073182752
0 7 10 0 7 10 0 7 10 0 6 10,,220525_LMAR.txt,48.29304029304029,12,4,3.584962500721156,,2.1626441180472606
0 7 3 10 3 10,,220530_ENOO.txt,35.733333333333334,6,4,2.584962500721156,,1.3709505944546687
0 7 3 7 9 10,,220530_ENOO.txt,55.857142857142854,6,5,2.584962500721156,,2.321928094887362
0 8 1 9 6 5 11 2 8 4 9 7 10,,220525_LMAR.txt,79.18908382066276,13,11,3.700439718141092,,3.251629167387823
1 11 8 3 4 8 11 9 4 7 9,,220524_CVON.txt,71.73913043478261,11,7,3.4594316186372973,,2.9219280948873623
1 11 9 5 12 2 4 8 10 3 10 1 2 4 9,,220524_CVON.txt,84.83333333333333,15,10,3.9068905956085187,,3.3248629576173574
1 2 3 2 10 12 12 10 2 3 5,,220524_CVON.txt,79.76923076923077,11,6,3.4594316186372973,,2.6464393446710153
1 2 3 3 2 3 4 6 4 3 1 8 1,,220530_ENOO.txt,69.33333333333333,13,6,3.700439718141092,,2.584962500721156
1 2 3 4 5 6 7 8 10 9 10 12 12 10 9 10 8 7 6 5 4 3 2 1,,220524_CVON.txt,50.125,24,11,4.584962500721156,,1.8688380418847683
1 2 3 4 5 6 7 8 9 10 11 12 12 11 10 9 8 7 6 5 4 3 2 1,,220524_CVON.txt,42.25,24,12,4.584962500721156,,1.21454040779525
1 3 5 9 6 8 2 4 7,,220527_WHAR.txt,60.05882352941177,9,9,3.169925001442312,,2
1 3 6 12 11 9 7 3 11 3 4 5,,220524_CVON.txt,78.73684210526315,12,9,3.584962500721156,,3.095795255000934
1 7 2 4 9 7 2 7 2 4 9 7,,220524_ISOL.txt,66.75,12,5,3.584962500721156,,2.2312702546075758
10 0 10 12 0 12 10 12 10 12 0,,220530_ETEK.txt,70.84615384615384,11,3,3.4594316186372973,,2.446439344671015
10 1 12 1 10 1,,220530_ETEK.txt,38.90208333333334,6,3,2.584962500721156,,1.9219280948873623
10 1 2 7 3 11 7 3 4 3 9 0,,220525_LMAR.txt,79.43589743589743,12,9,3.584962500721156,,2.663532754804255
10 10 10 10 10 10 10 10,,220530_ETEK.txt,8.75,8,1,3,,-0
10 12 12 12 12 12 12,,220530_ETEK.txt,46.30769230769231,7,2,2.807354922057604,,0.6500224216483541
10 6 0 2 10 7 3 7 10 0 6 10,,220530_ENOO.txt,63.90909090909091,12,6,3.584962500721156,,3.095795255000934
11 10 10 3 11 1,,220525_LMAR.txt,48.99084249084249,6,4,2.584962500721156,,2.321928094887362
11 10 11 9 10 8 9 7 8 6 7 5,,220525_EABR.txt,53.416666666666664,12,7,3.584962500721156,,1.3485878960124222
11 10 9 8 7 6 6 7 8 9 10 11,,220525_EABR.txt,31,12,6,3.584962500721156,,1.3485878960124222
11 2 1 7 3 5 9 5 3 7 1 9,,220524_ISOL.txt,77.7,12,7,3.584962500721156,,3.095795255000934
11 2 8 9 2 1 8 9 2 3 8 11,,220525_EABR.txt,74.05882352941177,12,6,3.584962500721156,,2.845350936622437
11 5 10 3 11 5,,220525_LMAR.txt,38.53947368421053,6,4,2.584962500721156,,1.9219280948873623
11 6 10 7 10 8 9 4 10 9 5 12,,220525_LMAR.txt,69.42538126361656,12,9,3.584962500721156,,3.2776134368191165
11 8 7 6 6 6 5 5 6 6 8 11 11,,220525_KZHU.txt,66.42657342657343,13,5,3.700439718141092,,2.221251836004466
11 9 5 9 11 9 3 7 4 10 12 10,,220530_ENOO.txt,71.95454545454545,12,8,3.584962500721156,,2.6635327548042547
12 10 8 7 6 5 3 2 3 7 11,,220530_ETEK.txt,45.625,11,9,3.4594316186372973,,1.8464393446710154
12 10 8 7 6 5 7 2 3 6 9,,220530_ETEK.txt,51,11,9,3.4594316186372973,,2.4464393446710155
12 11 10 6 4 2 6 5 4 10 6 1 2,,220527_WHAR.txt,77.42857142857143,13,8,3.700439718141092,,2.584962500721156
12 11 10 9 8 7 6 5 4 3 2 1 0,,220527_WHAR.txt,23.857142857142854,13,13,3.700439718141092,,-0
12 12 0 10 1 1 0 2 3 2,,220530_ETEK.txt,66.27272727272727,10,6,3.321928094887362,,2.725480556997868
